Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1200,FAC,2,TOR won Neu. Zone - TOR #42 BOZAK vs MTL #14 PLEKANEC,TORONTO MAPLE LEAFS_42_TYLER BOZAK,MONTREAL CANADIENS_14_TOMAS PLEKANEC,,,Neu. Zone,,,,TORONTO MAPLE LEAFS_42_TYLER BOZAK,TORONTO MAPLE LEAFS_81_PHIL KESSEL,TORONTO MAPLE LEAFS_21_JAMES VAN RIEMSDYK,TORONTO MAPLE LEAFS_3_DION PHANEUF,TORONTO MAPLE LEAFS_36_CARL GUNNARSSON,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_14_TOMAS PLEKANEC,MONTREAL CANADIENS_17_RENE BOURQUE,MONTREAL CANADIENS_21_BRIAN GIONTA,MONTREAL CANADIENS_26_JOSH GORGES,MONTREAL CANADIENS_76_P.K. SUBBAN,MONTREAL CANADIENS_31_CAREY PRICE,,,1,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,834,1200,FAC,1200,1,0001,1,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1126,MISS,3,TOR #4 FRANSON- Wrist- Wide of Net- Off. Zone- 61 ft.,TORONTO MAPLE LEAFS_4_CODY FRANSON,,,,Off. Zone,Wrist,Wide of Net,61,TORONTO MAPLE LEAFS_43_NAZEM KADRI,TORONTO MAPLE LEAFS_19_JOFFREY LUPUL,TORONTO MAPLE LEAFS_41_NIKOLAI KULEMIN,TORONTO MAPLE LEAFS_4_CODY FRANSON,TORONTO MAPLE LEAFS_51_JAKE GARDINER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_48_DANIEL BRIERE,MONTREAL CANADIENS_51_DAVID DESHARNAIS,MONTREAL CANADIENS_67_MAX PACIORETTY,MONTREAL CANADIENS_61_RAPHAEL DIAZ,MONTREAL CANADIENS_79_ANDREI MARKOV,MONTREAL CANADIENS_31_CAREY PRICE,,,1,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,760,1200,MISS,1126,1,0001,1,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1100,HIT,5,MTL #27 GALCHENYUK HIT TOR #51 GARDINER- Off. Zone,MONTREAL CANADIENS_27_ALEX GALCHENYUK,TORONTO MAPLE LEAFS_51_JAKE GARDINER,,,Off. Zone,,,,TORONTO MAPLE LEAFS_63_DAVE BOLLAND,TORONTO MAPLE LEAFS_40_TROY BODIE,TORONTO MAPLE LEAFS_12_MASON RAYMOND,TORONTO MAPLE LEAFS_15_PAUL RANGER,TORONTO MAPLE LEAFS_51_JAKE GARDINER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_27_ALEX GALCHENYUK,MONTREAL CANADIENS_81_LARS ELLER,MONTREAL CANADIENS_11_BRENDAN GALLAGHER,MONTREAL CANADIENS_24_JARRED TINORDI,MONTREAL CANADIENS_55_FRANCIS BOUILLON,MONTREAL CANADIENS_31_CAREY PRICE,,,0,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,734,1200,HIT,1100,1,0001,0,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1095,BLOCK,6,TOR #63 BOLLAND BLOCKED BY  MTL #24 TINORDI- Wrist- Def. Zone,MONTREAL CANADIENS_24_JARRED TINORDI,TORONTO MAPLE LEAFS_63_DAVE BOLLAND,,,Def. Zone,Wrist,,,TORONTO MAPLE LEAFS_63_DAVE BOLLAND,TORONTO MAPLE LEAFS_40_TROY BODIE,TORONTO MAPLE LEAFS_12_MASON RAYMOND,TORONTO MAPLE LEAFS_2_MARK FRASER,TORONTO MAPLE LEAFS_15_PAUL RANGER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_27_ALEX GALCHENYUK,MONTREAL CANADIENS_81_LARS ELLER,MONTREAL CANADIENS_11_BRENDAN GALLAGHER,MONTREAL CANADIENS_24_JARRED TINORDI,MONTREAL CANADIENS_55_FRANCIS BOUILLON,MONTREAL CANADIENS_31_CAREY PRICE,,,0,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,729,1200,BLOCK,1095,1,0001,0,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1094,FAC,8,TOR won Off. Zone - TOR #11 MCCLEMENT vs MTL #8 PRUST,TORONTO MAPLE LEAFS_11_JAY MCCLEMENT,MONTREAL CANADIENS_8_BRANDON PRUST,,,Off. Zone,,,,TORONTO MAPLE LEAFS_11_JAY MCCLEMENT,TORONTO MAPLE LEAFS_28_COLTON ORR,TORONTO MAPLE LEAFS_37_CARTER ASHTON,TORONTO MAPLE LEAFS_2_MARK FRASER,TORONTO MAPLE LEAFS_15_PAUL RANGER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_15_GEORGE PARROS,MONTREAL CANADIENS_8_BRANDON PRUST,MONTREAL CANADIENS_32_TRAVIS MOEN,MONTREAL CANADIENS_24_JARRED TINORDI,MONTREAL CANADIENS_55_FRANCIS BOUILLON,MONTREAL CANADIENS_31_CAREY PRICE,,,1,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,728,1200,FAC,1094,1,0001,1,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1088,BLOCK,9,TOR #15 RANGER BLOCKED BY  MTL #32 MOEN- Wrist- Def. Zone,MONTREAL CANADIENS_32_TRAVIS MOEN,TORONTO MAPLE LEAFS_15_PAUL RANGER,,,Def. Zone,Wrist,,,TORONTO MAPLE LEAFS_11_JAY MCCLEMENT,TORONTO MAPLE LEAFS_28_COLTON ORR,TORONTO MAPLE LEAFS_37_CARTER ASHTON,TORONTO MAPLE LEAFS_2_MARK FRASER,TORONTO MAPLE LEAFS_15_PAUL RANGER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_15_GEORGE PARROS,MONTREAL CANADIENS_8_BRANDON PRUST,MONTREAL CANADIENS_32_TRAVIS MOEN,MONTREAL CANADIENS_24_JARRED TINORDI,MONTREAL CANADIENS_55_FRANCIS BOUILLON,MONTREAL CANADIENS_31_CAREY PRICE,,,0,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,722,1200,BLOCK,1088,1,0001,0,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1083,TURN,10,MTL&nbsp;GIVEAWAY - #32 MOEN- Def. Zone,MONTREAL CANADIENS_32_TRAVIS MOEN,,,,Def. Zone,,,,TORONTO MAPLE LEAFS_11_JAY MCCLEMENT,TORONTO MAPLE LEAFS_28_COLTON ORR,TORONTO MAPLE LEAFS_37_CARTER ASHTON,TORONTO MAPLE LEAFS_2_MARK FRASER,TORONTO MAPLE LEAFS_15_PAUL RANGER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_15_GEORGE PARROS,MONTREAL CANADIENS_8_BRANDON PRUST,MONTREAL CANADIENS_32_TRAVIS MOEN,MONTREAL CANADIENS_24_JARRED TINORDI,MONTREAL CANADIENS_55_FRANCIS BOUILLON,MONTREAL CANADIENS_31_CAREY PRICE,,,0,6,6,0,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,717,1200,GIVE,1083,1,0001,0,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1078,HIT,11,MTL #24 TINORDI HIT TOR #28 ORR- Def. Zone,MONTREAL CANADIENS_24_JARRED TINORDI,TORONTO MAPLE LEAFS_28_COLTON ORR,,,Def. Zone,,,,TORONTO MAPLE LEAFS_11_JAY MCCLEMENT,TORONTO MAPLE LEAFS_28_COLTON ORR,TORONTO MAPLE LEAFS_37_CARTER ASHTON,TORONTO MAPLE LEAFS_2_MARK FRASER,TORONTO MAPLE LEAFS_15_PAUL RANGER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_15_GEORGE PARROS,MONTREAL CANADIENS_8_BRANDON PRUST,MONTREAL CANADIENS_32_TRAVIS MOEN,MONTREAL CANADIENS_24_JARRED TINORDI,MONTREAL CANADIENS_55_FRANCIS BOUILLON,MONTREAL CANADIENS_31_CAREY PRICE,40,-34,0,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,712,1200,HIT,1078,1,0001,0,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1072,HIT,12,TOR #11 MCCLEMENT HIT MTL #55 BOUILLON- Off. Zone,TORONTO MAPLE LEAFS_11_JAY MCCLEMENT,MONTREAL CANADIENS_55_FRANCIS BOUILLON,,,Off. Zone,,,,TORONTO MAPLE LEAFS_11_JAY MCCLEMENT,TORONTO MAPLE LEAFS_28_COLTON ORR,TORONTO MAPLE LEAFS_37_CARTER ASHTON,TORONTO MAPLE LEAFS_2_MARK FRASER,TORONTO MAPLE LEAFS_15_PAUL RANGER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_15_GEORGE PARROS,MONTREAL CANADIENS_8_BRANDON PRUST,MONTREAL CANADIENS_32_TRAVIS MOEN,MONTREAL CANADIENS_24_JARRED TINORDI,MONTREAL CANADIENS_55_FRANCIS BOUILLON,MONTREAL CANADIENS_31_CAREY PRICE,,,1,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,706,1200,HIT,1072,1,0001,1,,,,,,,0,0,
Tuesday, October 1, 2013,7:27,10:05,Centre Bell,21273,0001,TORONTO MAPLE LEAFS,MONTREAL CANADIENS,1,EV,1070,HIT,13,MTL #8 PRUST HIT TOR #37 ASHTON- Def. Zone,MONTREAL CANADIENS_8_BRANDON PRUST,TORONTO MAPLE LEAFS_37_CARTER ASHTON,,,Def. Zone,,,,TORONTO MAPLE LEAFS_11_JAY MCCLEMENT,TORONTO MAPLE LEAFS_28_COLTON ORR,TORONTO MAPLE LEAFS_37_CARTER ASHTON,TORONTO MAPLE LEAFS_2_MARK FRASER,TORONTO MAPLE LEAFS_15_PAUL RANGER,TORONTO MAPLE LEAFS_34_JAMES REIMER,MONTREAL CANADIENS_15_GEORGE PARROS,MONTREAL CANADIENS_8_BRANDON PRUST,MONTREAL CANADIENS_32_TRAVIS MOEN,MONTREAL CANADIENS_24_JARRED TINORDI,MONTREAL CANADIENS_55_FRANCIS BOUILLON,MONTREAL CANADIENS_31_CAREY PRICE,,,0,6,6,,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,TORONTO MAPLE LEAFS_34_JAMES REIMER_G,1,1,704,1200,HIT,1070,1,0001,0,,,,,,,0,0,
