Name,Team,Position,Count,Per,numbteams.Freq,posadj,WAR
JORDAN EBERLE,EDMONTON OILERS,C,4978,0.01128,1,0.008717669,6.1
ALEX OVECHKIN,WASHINGTON CAPITALS,L,5301,0.00934,1,0.007511328,5.63
DUSTIN BYFUGLIEN,WINNIPEG JETS,D,5882,0.00373,1,0.005689181,4.81
P.K. SUBBAN,MONTREAL CANADIENS,D,5659,0.00342,1,0.005379181,4.42
PATRICE BERGERON,BOSTON BRUINS,C,5873,0.00756,1,0.004997669,4.28
ANDREI MARKOV,MONTREAL CANADIENS,D,6149,0.00223,1,0.004189181,3.82
HENRIK ZETTERBERG,DETROIT RED WINGS,L,4928,0.00691,1,0.005081328,3.73
LOGAN COUTURE,SAN JOSE SHARKS,C,5612,0.00689,1,0.004327669,3.63
ERIK KARLSSON,OTTAWA SENATORS,D,4274,0.00347,1,0.005429181,3.49
MAX PACIORETTY,MONTREAL CANADIENS,L,3979,0.00766,1,0.005831328,3.49
JAKUB VORACEK,PHILADELPHIA FLYERS,R,4201,0.00754,1,0.005486906,3.47
CHRISTIAN EHRHOFF,BUFFALO SABRES,D,5230,0.00243,1,0.004389181,3.46
ROMAN JOSI,NASHVILLE PREDATORS,D,5039,0.00242,1,0.004379181,3.35
ANZE KOPITAR,LOS ANGELES KINGS,C,6860,0.00576,1,0.003197669,3.33
DION PHANEUF,TORONTO MAPLE LEAFS,D,6882,0.00122,1,0.003179181,3.32
BRAD RICHARDS,NEW YORK RANGERS,C,6113,0.00613,1,0.003567669,3.31
COREY PERRY,ANAHEIM DUCKS,R,4682,0.00669,1,0.004636906,3.3
PATRIK ELIAS,NEW JERSEY DEVILS,L,3732,0.00763,1,0.005801328,3.29
KIMMO TIMONEN,PHILADELPHIA FLYERS,D,4756,0.00254,1,0.004499181,3.26
DUNCAN KEITH,CHICAGO BLACKHAWKS,D,5567,0.00184,1,0.003799181,3.23
KRIS LETANG,PITTSBURGH PENGUINS,D,3915,0.00344,1,0.005399181,3.23
TAYLOR HALL,EDMONTON OILERS,L,4651,0.00624,1,0.004411328,3.15
MARK STREIT,PHILADELPHIA FLYERS,D,5189,0.00197,2,0.003929181,3.13
BRIAN GIONTA,MONTREAL CANADIENS,R,4352,0.00671,1,0.004656906,3.11
JOE THORNTON,SAN JOSE SHARKS,C,6020,0.00592,1,0.003357669,3.11
CHRIS KUNITZ,PITTSBURGH PENGUINS,L,4409,0.00628,1,0.004451328,3.03
JOEL WARD,WASHINGTON CAPITALS,R,3524,0.00762,1,0.005566906,3.03
BRENT BURNS,SAN JOSE SHARKS,D,2966,0.0045,1,0.006459181,2.97
BRIAN CAMPBELL,FLORIDA PANTHERS,D,5953,0.00125,1,0.003209181,2.96
JUSTIN WILLIAMS,LOS ANGELES KINGS,R,4444,0.00632,1,0.004266906,2.94
JOHNNY ODUYA,CHICAGO BLACKHAWKS,D,4679,0.00202,1,0.003979181,2.9
PAVEL DATSYUK,DETROIT RED WINGS,C,5686,0.00581,1,0.003247669,2.88
PAUL MARTIN,PITTSBURGH PENGUINS,D,3429,0.00341,1,0.005369181,2.87
ANDREW LADD,WINNIPEG JETS,L,4907,0.00555,1,0.003721328,2.85
RAPHAEL DIAZ,MONTREAL CANADIENS,D,3240,0.00359,1,0.005549181,2.82
JAKUB KINDL,DETROIT RED WINGS,D,4023,0.00247,1,0.004429181,2.8
CODY FRANSON,TORONTO MAPLE LEAFS,D,5520,0.00125,1,0.003209181,2.78
PATRICK MARLEAU,SAN JOSE SHARKS,C,5196,0.00596,1,0.003397669,2.78
LUBOMIR VISNOVSKY,NEW YORK ISLANDERS,D,2630,0.00454,1,0.006499181,2.7
DAN HAMHUIS,VANCOUVER CANUCKS,D,5267,0.00119,1,0.003149181,2.64
NICK LEDDY,CHICAGO BLACKHAWKS,D,4112,0.00206,1,0.004019181,2.63
MATTHEW CARLE,TAMPA BAY LIGHTNING,D,5197,0.00121,1,0.003169181,2.62
DEREK STEPAN,NEW YORK RANGERS,C,6885,0.0049,1,0.002337669,2.58
NIKLAS KRONWALL,DETROIT RED WINGS,D,5298,0.00105,1,0.003009181,2.56
JONATHAN TOEWS,CHICAGO BLACKHAWKS,C,6166,0.00513,1,0.002567669,2.54
ALES HEMSKY,EDMONTON OILERS,R,3522,0.00649,1,0.004436906,2.51
THOMAS VANEK,NEW YORK ISLANDERS,L,3959,0.00571,2,0.003881328,2.48
TRAVIS ZAJAC,NEW JERSEY DEVILS,C,5436,0.00538,1,0.002817669,2.47
ERIC STAAL,CAROLINA HURRICANES,C,7059,0.00469,1,0.002127669,2.44
SHEA WEBER,NASHVILLE PREDATORS,D,5708,0.00066,1,0.002619181,2.43
TYLER SEGUIN,DALLAS STARS,C,4750,0.00571,2,0.003147669,2.43
TROY BROUWER,WASHINGTON CAPITALS,R,4869,0.0051,1,0.003046906,2.41
DANIEL SEDIN,VANCOUVER CANUCKS,L,4394,0.00518,1,0.003351328,2.4
TEDDY PURCELL,TAMPA BAY LIGHTNING,R,3671,0.006,1,0.003946906,2.37
JAKE MUZZIN,LOS ANGELES KINGS,D,4546,0.0012,1,0.003159181,2.35
RYAN GETZLAF,ANAHEIM DUCKS,C,6246,0.00483,1,0.002267669,2.33
JOHN TAVARES,NEW YORK ISLANDERS,C,6715,0.00463,1,0.002067669,2.29
NAZEM KADRI,TORONTO MAPLE LEAFS,C,6073,0.00485,1,0.002287669,2.29
ALEX PIETRANGELO,ST. LOUIS BLUES,D,5426,0.00058,1,0.002539181,2.28
MIKE CAMMALLERI,CALGARY FLAMES,L,4106,0.0052,1,0.003371328,2.28
TOM GILBERT,FLORIDA PANTHERS,D,4224,0.0013,2,0.003259181,2.27
OLIVER EKMAN-LARSSON,PHOENIX COYOTES,D,5705,0.0004,1,0.002359181,2.24
DAN BOYLE,SAN JOSE SHARKS,D,5279,0.00055,1,0.002509181,2.21
JAROMIR JAGR,NEW JERSEY DEVILS,R,3985,0.00539,3,0.003336906,2.21
MIKKO KOIVU,MINNESOTA WILD,C,6071,0.0047,1,0.002137669,2.17
SLAVA VOYNOV,LOS ANGELES KINGS,D,5695,0.00031,1,0.002269181,2.17
MIKE RICHARDS,LOS ANGELES KINGS,C,5166,0.00505,1,0.002487669,2.16
MARIAN HOSSA,CHICAGO BLACKHAWKS,R,3447,0.00575,1,0.003696906,2.14
BRENDAN SMITH,DETROIT RED WINGS,D,3369,0.00169,1,0.003649181,2.09
ZACH PARISE,MINNESOTA WILD,L,3983,0.00492,1,0.003091328,2.09
